,km,year,test_cost,price,num_of_hand,Engine_Size,electric,disel,gasoline,automatic,manual,private,leasing,rent,else,Manufacturer
5527,175000,2017,1102,34900,2,1197.0,0,0,1,0,1,0,1,0,0,8
5528,163000,2014,1584,55000,2,1998.0,0,0,1,1,0,1,0,0,0,17
5529,153000,2016,985,29000,1,998.0,0,0,1,1,0,1,0,0,0,31
5530,57775,2021,2417,133630,1,1332.0,0,0,1,1,0,0,0,0,1,21
5531,76000,2019,3366,156770,1,1395.0,1,0,1,1,0,1,0,0,0,1
5532,49000,2021,4731,239000,1,1499.0,1,0,1,1,0,1,0,0,0,6
5533,145000,2017,1693,94900,1,1998.0,0,0,1,1,0,1,0,0,0,19
5534,119000,2019,1604,96000,1,999.0,0,0,1,1,0,0,1,0,0,27
5535,117000,2020,2130,125000,1,1461.0,0,1,0,1,0,1,0,0,0,21
5536,87000,2019,3357,217000,3,3649.0,0,0,1,1,0,1,0,0,0,33
5538,153000,2013,2397,109000,3,1984.0,0,0,1,1,0,1,0,0,0,1
5539,112560,2019,1604,102750,1,1798.0,0,0,1,1,0,0,0,0,1,12
5540,96999,2019,2019,146980,1,1498.0,0,0,1,1,0,0,0,0,1,27
5541,83000,2021,2130,129000,1,1199.0,0,0,1,1,0,0,1,0,0,31
5542,158000,2018,1604,93000,2,1580.0,0,0,1,1,0,1,0,0,0,13
5543,130000,2018,1604,99900,3,1395.0,0,0,1,1,0,0,1,0,0,25
5544,79000,2017,1693,101000,1,1998.0,0,0,1,1,0,1,0,0,0,17
5545,5000,2022,4731,440000,2,2755.0,0,1,0,1,0,1,0,0,0,12
5546,100000,2019,1604,90000,1,1597.0,0,0,1,1,0,1,0,0,0,10
5547,129000,2015,1205,52000,1,1591.0,0,0,1,1,0,1,0,0,0,13
5548,505,2023,4731,387903,1,1998.0,0,0,1,1,0,1,0,0,0,6
5549,505,2023,2417,197000,1,1341.0,0,0,1,1,0,0,0,0,1,37
5550,118003,2019,1835,112301,1,1461.0,0,1,0,1,0,0,0,0,1,21
5551,102302,2019,2563,156000,1,1984.0,0,0,1,1,0,0,0,0,1,27
5552,80960,2019,2019,129570,1,1490.0,0,0,1,1,0,0,1,0,0,37
